x,V
   -2.096000,  -12.315907
   -2.092000,  -12.305601
   -2.088000,  -12.295036
   -2.084000,  -12.284212
   -2.080000,  -12.273132
   -2.076000,  -12.261795
   -2.072000,  -12.250206
   -2.068000,  -12.238364
   -2.064000,  -12.226271
   -2.060000,  -12.213930
   -2.056000,  -12.201341
   -2.052000,  -12.188506
   -2.048000,  -12.175427
   -2.044000,  -12.162105
   -2.040000,  -12.148543
   -2.036000,  -12.134741
   -2.032000,  -12.120700
   -2.028000,  -12.106424
   -2.024000,  -12.091913
   -2.020000,  -12.077168
   -2.016000,  -12.062192
   -2.012000,  -12.046985
   -2.008000,  -12.031550
   -2.004000,  -12.015888
   -2.000000,  -12.000000
   -1.996000,  -11.983888
   -1.992000,  -11.967554
   -1.988000,  -11.950999
   -1.984000,  -11.934224
   -1.980000,  -11.917232
   -1.976000,  -11.900023
   -1.972000,  -11.882600
   -1.968000,  -11.864963
   -1.964000,  -11.847114
   -1.960000,  -11.829055
   -1.956000,  -11.810787
   -1.952000,  -11.792312
   -1.948000,  -11.773631
   -1.944000,  -11.754746
   -1.940000,  -11.735658
   -1.936000,  -11.716368
   -1.932000,  -11.696879
   -1.928000,  -11.677192
   -1.924000,  -11.657307
   -1.920000,  -11.637228
   -1.916000,  -11.616954
   -1.912000,  -11.596488
   -1.908000,  -11.575831
   -1.904000,  -11.554984
   -1.900000,  -11.533950
   -1.896000,  -11.512729
   -1.892000,  -11.491323
   -1.888000,  -11.469733
   -1.884000,  -11.447961
   -1.880000,  -11.426008
   -1.876000,  -11.403876
   -1.872000,  -11.381566
   -1.868000,  -11.359080
   -1.864000,  -11.336419
   -1.860000,  -11.313584
   -1.856000,  -11.290577
   -1.852000,  -11.267399
   -1.848000,  -11.244052
   -1.844000,  -11.220538
   -1.840000,  -11.196856
   -1.836000,  -11.173010
   -1.832000,  -11.149000
   -1.828000,  -11.124828
   -1.824000,  -11.100495
   -1.820000,  -11.076003
   -1.816000,  -11.051353
   -1.812000,  -11.026546
   -1.808000,  -11.001584
   -1.804000,  -10.976468
   -1.800000,  -10.951200
   -1.796000,  -10.925781
   -1.792000,  -10.900212
   -1.788000,  -10.874495
   -1.784000,  -10.848630
   -1.780000,  -10.822621
   -1.776000,  -10.796467
   -1.772000,  -10.770170
   -1.768000,  -10.743732
   -1.764000,  -10.717154
   -1.760000,  -10.690437
   -1.756000,  -10.663583
   -1.752000,  -10.636593
   -1.748000,  -10.609468
   -1.744000,  -10.582209
   -1.740000,  -10.554819
   -1.736000,  -10.527298
   -1.732000,  -10.499648
   -1.728000,  -10.471870
   -1.724000,  -10.443965
   -1.720000,  -10.415935
   -1.716000,  -10.387781
   -1.712000,  -10.359504
   -1.708000,  -10.331105
   -1.704000,  -10.302587
   -1.700000,  -10.273950
   -1.696000,  -10.245195
   -1.692000,  -10.216325
   -1.688000,  -10.187339
   -1.684000,  -10.158240
   -1.680000,  -10.129029
   -1.676000,  -10.099707
   -1.672000,  -10.070275
   -1.668000,  -10.040735
   -1.664000,  -10.011087
   -1.660000,   -9.981334
   -1.656000,   -9.951477
   -1.652000,   -9.921516
   -1.648000,   -9.891453
   -1.644000,   -9.861289
   -1.640000,   -9.831026
   -1.636000,   -9.800665
   -1.632000,   -9.770206
   -1.628000,   -9.739652
   -1.624000,   -9.709004
   -1.620000,   -9.678262
   -1.616000,   -9.647429
   -1.612000,   -9.616505
   -1.608000,   -9.585491
   -1.604000,   -9.554389
   -1.600000,   -9.523200
   -1.596000,   -9.491925
   -1.592000,   -9.460566
   -1.588000,   -9.429124
   -1.584000,   -9.397599
   -1.580000,   -9.365994
   -1.576000,   -9.334308
   -1.572000,   -9.302545
   -1.568000,   -9.270704
   -1.564000,   -9.238787
   -1.560000,   -9.206796
   -1.556000,   -9.174730
   -1.552000,   -9.142593
